GC7Q1WC	99	50.959317	4.1821
GC5EJKZ	99	50.950917	4.155383
GC4ZWRX	99	50.95815	4.196067
GC4AAXA	99	50.98385	4.144233
GC4AHDZ	01	50.977917	4.154
GC4AHDZ	02	50.979383	4.152433
GC4AHDZ	99	50.979383	4.152433
GC4AFPW	99	50.98275	4.148683
GC7NVJW	99	51.0037	4.184
GC1K7GT	02	51.003683	4.21095
GC1K7GT	03	51.00675	4.2169
GC1K7HQ	03	51.00515	4.226417
GC1K7PG	03	50.9911	4.21875
GCXQ56	01	50.933267	4.226633
GCXQ56	04	50.943283	4.22665
GCXQ56	03	50.939333	4.224533
GCXQ56	05	50.941333	4.221333
GCXQ56	99	50.9396	4.216983
GC2YBFC	2	50.919633	4.175317
GC2YBFC	3	50.916933	4.1741
GC2YBFC	99	50.919333	4.18145
GC7NB3E	99	50.9555	4.24545
GC2H3P9	03	50.948567	4.184083
GC2GTHE	99	50.990533	4.123817
GCM8Z2	99	50.924367	4.185183
GCH2HH	03	50.930033	4.192767
GCH2HH	99	50.929033	4.20005
GC175ZN	99	50.949117	4.253917
GC1N592	04	50.95455	4.209183
GC1N592	99	50.949783	4.2042
GCK30P	01	50.963633	4.250767
GCK30P	02	50.95195	4.263367
GCK30P	03	50.9518	4.265117
GCK30P	99	50.9522	4.26505
GC16XP0	02	50.96405	4.230117
GC16XP0	03	50.963967	4.226567
GC1749X	99	50.954333	4.26105
GC16A5	99	50.923033	4.216883
GCH9J2	99	50.926683	4.1541
GC74QJA	99	50.972083	4.201
GC72VV4	99	50.95995	4.193533
GC27751	02	50.941567	4.200117
GC27751	03	50.940267	4.1999
GC27751	99	50.938933	4.203283
GC50P0F	99	50.980417	4.1655
GCQ9QG	99	50.956633	4.11745
