GC85ZZ8	N5057631E00410724	FAIL
GC85ZZ8	N5057631E00410742	FAIL
GC85ZZ8	N5057631E00410274	FAIL
GC85ZZ8	N5057631E00410247	FAIL
GC85ZZ8	N5057631E00410472	FAIL
GC85ZZ8	N5057631E00410427	FAIL
GC85ZZ8	N5057634E00410721	FAIL
GC85ZZ8	N5057634E00410712	FAIL
GC85ZZ8	N5057634E00410271	FAIL
GC85ZZ8	N5057634E00410217	FAIL
GC85ZZ8	N5057634E00410172	FAIL
GC85ZZ8	N5057634E00410127	FAIL
GC85ZZ8	N5057617E00410234	FAIL
GC85ZZ8	N5057617E00410243	FAIL
GC85ZZ8	N5057617E00410324	FAIL
GC85ZZ8	N5057617E00410342	FAIL
GC85ZZ8	N5057617E00410423	FAIL
GC85ZZ8	N5057617E00410432	FAIL
GC85ZZ8	N5057612E00410734	FAIL
GC85ZZ8	N5057612E00410743	FAIL
GC85ZZ8	N5057612E00410374	FAIL
GC85ZZ8	N5057612E00410347	FAIL
GC85ZZ8	N5057612E00410473	FAIL
GC85ZZ8	N5057612E00410437	FAIL
GC85ZZ8	N5057613E00410724	FAIL
GC85ZZ8	N5057613E00410742	FAIL
GC85ZZ8	N5057613E00410274	FAIL
GC85ZZ8	N5057613E00410247	FAIL
GC85ZZ8	N5057613E00410472	FAIL
GC85ZZ8	N5057613E00410427	FAIL
GC85ZZ8	N5057614E00410723	FAIL
GC85ZZ8	N5057614E00410732	FAIL
GC85ZZ8	N5057614E00410273	FAIL
GC85ZZ8	N5057614E00410237	FAIL
GC85ZZ8	N5057614E00410372	FAIL
GC85ZZ8	N5057614E00410327	FAIL
GC85ZZ8	N5057647E00410231	FAIL
GC85ZZ8	N5057647E00410213	FAIL
GC85ZZ8	N5057647E00410321	FAIL
GC85ZZ8	N5057647E00410312	FAIL
GC85ZZ8	N5057647E00410123	FAIL
GC85ZZ8	N5057647E00410132	FAIL
GC85ZZ8	N5057642E00410731	FAIL
GC85ZZ8	N5057642E00410713	FAIL
GC85ZZ8	N5057642E00410371	FAIL
GC85ZZ8	N5057642E00410317	FAIL
GC85ZZ8	N5057642E00410173	FAIL
GC85ZZ8	N5057642E00410137	FAIL
GC85ZZ8	N5057643E00410721	FAIL
GC85ZZ8	N5057643E00410712	FAIL
GC85ZZ8	N5057643E00410271	FAIL
GC85ZZ8	N5057643E00410217	FAIL
